Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Average Score
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.2, 0.0, 0.18, 0.6, 16.0)",3.197953748,3.005516364,3.275561553,3.159677222
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.0, 0.0, 0.18, 0.6, 16.0)",3.197953748,3.005516364,3.275561553,3.159677222
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",3.275588551,2.944383258,3.221009865,3.146993891
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",3.275588551,2.944383258,3.221009865,3.146993891
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.3, 0.2, 0.0, 0.18, 0.6, 16.0)",3.041489924,2.928662374,3.407098909,3.125750402
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.3, 0.0, 0.0, 0.18, 0.6, 16.0)",3.041489924,2.928662374,3.407098909,3.125750402
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",2.615944406,3.307766444,3.40461753,3.109442793
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",2.615944406,3.307766444,3.40461753,3.109442793
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",3.330715265,3.101289823,2.867181047,3.099728711
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",3.330715265,3.101289823,2.867181047,3.099728711
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",3.294667078,3.11757895,2.877811219,3.096685749
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",3.294667078,3.11757895,2.877811219,3.096685749
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.3, 0.2, 0.0, 0.18, 0.6, 16.0)",2.666505168,3.431028929,3.159685609,3.085739902
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.3, 0.0, 0.0, 0.18, 0.6, 16.0)",2.666505168,3.431028929,3.159685609,3.085739902
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.3, 0.0, 0.0, 0.18, 0.6, 16.0)",3.036402066,2.903595912,3.309652887,3.083216955
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.3, 0.2, 0.0, 0.18, 0.6, 16.0)",3.036402066,2.903595912,3.309652887,3.083216955
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",2.599121564,3.204031903,3.439023181,3.080725549
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",2.599121564,3.204031903,3.439023181,3.080725549
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",3.192506799,2.776199219,3.202074338,3.056926785
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",3.192506799,2.776199219,3.202074338,3.056926785
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",3.01116132,2.694086377,3.442314933,3.049187544
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",3.01116132,2.694086377,3.442314933,3.049187544
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",3.026463733,2.694086377,3.334000973,3.018183694
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",3.026463733,2.694086377,3.334000973,3.018183694
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",2.892694913,2.694086377,3.442314933,3.009698741
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",2.892694913,2.694086377,3.442314933,3.009698741
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",2.516864328,3.309580892,3.180762444,3.002402555
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",2.516864328,3.309580892,3.180762444,3.002402555
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.825644994,2.944383258,3.221009865,2.997012706
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.825644994,2.944383258,3.221009865,2.997012706
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",2.491473953,3.21621461,3.260093988,2.98926085
