Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Success,Average Score
"(5.885414091470952, 3.545117428924598, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.07639060568603215, 0.0, 0.18, 0.6763906056860322, 16.0)",5.685973535351099,5.716363568773342,5.609575983685775,True,5.6706376959367395
"(5.7, 3.545117428924598, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.07639060568603215, 0.0, 0.18, 0.6763906056860322, 16.0)",5.649787798144677,5.646316524317759,5.528172891114649,True,5.608092404525696
"(5.885414091470952, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.07639060568603215, 0.0, 0.18, 0.6763906056860322, 16.0)",4.859025924057443,4.692984119803668,4.371332515298079,True,4.641114186386397
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.07639060568603215, 0.0, 0.18, 0.6763906056860322, 16.0)",4.872022058081145,4.671474697453435,4.313246285041557,True,4.618914346858713
